     stop_id     |                    stop_name                     |     stop_id     |                    stop_name                     |       distance
-----------------+--------------------------------------------------+-----------------+--------------------------------------------------+----------------------
 14843           | Amsterdam, P.A. v. Heijningestraat               | 362221          | Amsterdam, P.A. van Heijningestraat              |                    0
 1216824         | Den Haag, van Musschenbroekstraat                | 629652          | Den Haag, Van Musschenbroekstraat                |                    0
 355333          | Nijmegen, Station Dukenburg (A)                  | 357415          | Nijmegen, Station Dukenburg (C)                  |                    0
 1501773         | Wervershoof, Vok Koomenweg                       | 940153          | Wervershoof, V. Koomenweg                        |                    0
 357417          | Nijmegen, Station Dukenburg (E)                  | 357418          | Nijmegen, Station Dukenburg (F)                  |                    0
 1377603         | Haarlem, Station F                               | 511218          | Haarlem, Station                                 |                    0
 859733          | Amsterdam Van der Madeweg                        | 96467           | Amsterdam, Van der Madeweg                       |                    0
 1332992         | Winsum, Station (Perron B)                       | 1333770         | Winsum, Station (Perron A)                       |                    0
 644235          | St. Maartensvlotbrug, G. v/d Sluisstraat         | 644236          | St. Maartensvlotbrug, G.v/d Sluisstraat          |                    0
 1331218         | Emmen, Station (Perron E)                        | 1333793         | Emmen, Station (Perron H)                        |                    0
 1501489         | Krimpen ad IJssel, Raadhuisplein                 | 80624           | Krimpen a/d IJssel, Raadhuisplein                |                    0
 1501324         | Delft, Station Delft Perron E                    | 1501697         | Delft, Station Delft (Perron E)                  |                    0
 1217760         | Delft, Station Delft (Perron G)                  | 1501698         | Delft, Station Delft (Perron F)                  |                    0
 1501688         | Wervershoof, Vok Koomenweg                       | 939527          | Wervershoof, V. Koomenweg                        |                    0
 547466          | Sas van Gent, Bolwerk                            | 547467          | Sas Van Gent, Bolwerk                            |                    0
 357416          | Nijmegen, Station Dukenburg (D)                  | 357417          | Nijmegen, Station Dukenburg (E)                  |                    0
 1332483         | Emmen, Station (Perron K)                        | 1480319         | Emmen, Station (Perron J)                        |                    0
 357414          | Nijmegen, Station Dukenburg (B)                  | 357415          | Nijmegen, Station Dukenburg (C)                  |                    0
 681248          | Catsop, Op de Dries                              | 681259          | Catops, Op de Dries                              |                    0
 1331662         | Assen, Station (Perron E)                        | 1332630         | Assen, Station (Perron F)                        |                    0
 357392          | Druten, Hermes garage                            | 8790            | Druten, Hermes Garage                            |                    0
 357416          | Nijmegen, Station Dukenburg (D)                  | 357418          | Nijmegen, Station Dukenburg (F)                  |                    0
 355333          | Nijmegen, Station Dukenburg (A)                  | 357414          | Nijmegen, Station Dukenburg (B)                  |                    0
 653731          | Groningen, v. K. Verschuurbrug                   | 654325          | Groningen, v K. Verschuurbrug                    |                    0
 1356164         | Den Haag, De Uithof (spoor 2)                    | 1356197         | Den Haag, De Uithof (spoor 1)                    |                    0
 506699          | Leiden, Centraal                                 | 53896           | Leiden Centraal                                  | 0.000401692078175526
 506806          | Leiden, Centraal                                 | 53896           | Leiden Centraal                                  | 0.000401692078175526
 1400973         | Leiden, Centraal                                 | 53896           | Leiden Centraal                                  | 0.000401692097785557
 1217165         | Delft, Station Delft (Perron I)                  | 1501696         | Delft, Station Delft (Perron H)                  | 0.000527139143567224
 1331439         | Hoogeveen, Station (Perron C)                    | 1334195         | Hoogeveen, Station (Perron B)                    | 0.000527139144006733
 1377881         | Loppersum, Station (Perron D)                    | 653595          | Loppersum, Station (Perron C)                    | 0.000527139144006733
 1333250         | Winsum, Station (Perron C)                       | 1333770         | Winsum, Station (Perron A)                       | 0.000527139144446242
 1332992         | Winsum, Station (Perron B)                       | 1333250         | Winsum, Station (Perron C)                       | 0.000527139144446242
 363399          | Druten, Hermes garage                            | 8475            | Druten, Hermes Garage                            |  0.00060999246478392
 1333368         | Korhorn, Hornhuusstraat                          | 1334148         | Kornhorn, Hornhuusstraat                         |  0.00061204020319403
 1217161         | Delft, Station Delft (Perron H)                  | 1501758         | Delft, Station Delft (Perron G)                  | 0.000648979069487529
 1420643         | Haarlem, Station C                               | NL:S:55000050   | Haarlem, Station                                 |  0.00070125667730512
 1329489         | De Bilt, Tunneltje De Bilt                       | 675739          | De Bilt, Tunneltje de Bilt                       | 0.000790708715790345
 1099931         | Delft, TU Mekelpark                              | 1216986         | Delft, TU - Mekelpark                            | 0.000820526904283682
 1401000         | IJsselstein, Van Der Voort                       | 675302          | IJsselstein, Van der Voort                       | 0.000836002709176034
 506739          | Leiden, Centraal                                 | 53896           | Leiden Centraal                                  |  0.00096624055370905
 53896           | Leiden Centraal                                  | 744090          | Leiden, Centraal                                 | 0.000966240630377984
 1100327         | Krimpen ad IJssel, Koekoekstraat                 | 1401020         | Krimpen a/d IJssel, Koekoekstraat                |  0.00105427828801347
 1134564         | Nieuwerkerk ad IJssel, Begoniaveld               | 1440604         | Nieuwerkerk a/d IJssel, Begoniaveld              |  0.00123799171094386
 1420753         | Tiel, Laan van Westroyen                         | 9087            | Tiel, Laan van Westroijen                        |  0.00124009069326251
 1332638         | Meppel, Burg. Knopperslaan                       | 419441          | Meppel, Burgem. Knopperslaan                     |  0.00131784785979708
 1100237         | Krimpen ad IJssel, Nieuwe Vliet                  | 252488          | Krimpen a/d IJssel, Nieuwe Vliet                 |  0.00131784785979708
 1134403         | Nieuwerkerk ad IJssel, Ringvaartlaan             | 1401038         | Nieuwerkerk a/d IJssel, Ringvaartlaan            |  0.00131847286293788
